学校,省市,总分
清华大学,北京,1004.1
北京大学,北京,910.5
浙江大学,浙江,822.9
上海交通大学,上海,778.6
复旦大学,上海,712.4
南京大学,江苏,676.2
中国科学技术大学,安徽,608.6
华中科技大学,湖北,606.2
武汉大学,湖北,599.1
西安交通大学,陕西,572.6
中山大学,广东,570.0
四川大学,四川,546.9
哈尔滨工业大学,黑龙江,544.2
北京航空航天大学,北京,543.5
东南大学,江苏,532.3
北京理工大学,北京,529.3
同济大学,上海,527.0
中国人民大学,北京,526.3
北京师范大学,北京,523.4
南开大学,天津,490.4
天津大学,天津,480.5
山东大学,山东,472.8
中南大学,湖南,466.1
厦门大学,福建,463.2
西北工业大学,陕西,462.0
华南理工大学,广东,444.2
吉林大学,吉林,439.1
电子科技大学,四川,437.0
湖南大学,湖南,435.5
中国农业大学,北京,432.8
华东师范大学,上海,428.2
大连理工大学,辽宁,417.4
南方科技大学,广东,413.0
重庆大学,重庆,397.7
北京科技大学,北京,382.8
南京理工大学,江苏,381.2
南京航空航天大学,江苏,376.6
东北大学,辽宁,369.4
西安电子科技大学,陕西,363.8
兰州大学,甘肃,362.2
苏州大学,江苏,362.2
华中农业大学,湖北,361.0
北京交通大学,北京,346.9
华东理工大学,上海,346.1
上海科技大学,上海,343.3
郑州大学,河南,336.5
华中师范大学,湖北,334.2
上海大学,上海,333.2
哈尔滨工程大学,黑龙江,332.6
暨南大学,广东,332.4
南京农业大学,江苏,330.7
中国石油大学（北京）,北京,330.1
东北师范大学,吉林,327.2
武汉理工大学,湖北,326.1
西南交通大学,四川,325.1
中国矿业大学,江苏,324.0
北京邮电大学,北京,323.4
南京师范大学,江苏,322.7
中国地质大学（武汉）,湖北,322.5
江南大学,江苏,321.6
河海大学,江苏,320.9
中国海洋大学,山东,319.8
北京工业大学,北京,314.2
北京化工大学,北京,309.6
西北大学,陕西,306.8
中国石油大学（华东）,山东,304.4
陕西师范大学,陕西,301.7
深圳大学,广东,301.4
南昌大学,江西,299.5
浙江工业大学,浙江,298.8
中国地质大学（北京）,北京,296.0
西南大学,重庆,294.5
福州大学,福建,290.6
西北农林科技大学,陕西,288.1
